No.,Time,Length
2,0.064166,117
10,0.564757,117
12,0.872942,68
20,1.070767,117
24,1.592789,117
27,2.058217,173
28,2.058229,173
33,2.098655,117
34,2.09868,173
42,2.603829,117
44,3.127848,117
50,3.633438,117
55,4.167652,117
57,4.207766,125
58,4.207778,125
59,4.208457,568
60,4.210746,568
61,4.212645,568
67,4.217815,568
69,4.217827,568
70,4.217829,568
74,4.225724,568
75,4.225737,568
76,4.225739,568
77,4.228343,105
82,4.247759,568
83,4.247774,568
84,4.247775,568
85,4.247776,568
90,4.252638,568
92,4.263708,568
93,4.263717,568
94,4.263718,568
98,4.277626,105
111,5.083824,117
119,5.598129,117
121,6.113218,117
129,6.623701,117
130,6.792738,125
133,7.128752,117
139,7.67072,117
144,8.250617,117
154,8.747715,117
156,9.030678,125
158,9.043626,125
160,9.07798,125
164,9.210803,125
167,9.239808,117
168,9.313959,125
197,10.551959,125
199,10.788791,125
203,11.034,125
209,11.111806,125
211,11.16481,125
213,11.430067,125
215,11.430077,125
216,11.430087,125
217,11.430089,125
222,11.452079,125
227,11.469443,125
228,11.473678,125
231,11.484095,125
232,11.484104,125
238,11.498806,125
243,11.52499,125
246,11.649413,125
248,11.705199,125
250,11.909021,125
252,11.964823,125
254,11.984935,125
256,12.108895,125
258,12.128812,125
263,12.191861,125
265,12.228787,125
267,12.278892,125
269,12.311854,125
273,12.405071,125
276,12.485029,125
278,12.579215,125
279,12.579226,125
282,12.708793,125
284,12.744943,125
286,12.778848,125
289,12.919064,125
291,13.194959,125
292,13.194968,125
295,13.224859,125
297,13.234252,125
299,13.249812,125
301,13.271832,125
303,13.37487,125
304,13.374881,125
307,13.389809,125
309,13.395102,125
314,13.469944,125
317,13.518908,125
319,13.579395,125
320,13.579408,125
323,13.611818,125
326,13.79933,125
327,13.799339,125
330,13.808775,125
334,13.858929,125
338,13.865315,125
343,13.90477,125
348,13.994699,125
350,14.031923,125
351,14.038655,125
354,14.069835,125
355,14.069843,125
361,14.162769,125
363,14.166805,125
364,14.170051,125
370,14.202871,125
371,14.202879,125
397,14.318644,125
401,14.357708,125
402,14.36692,125
408,14.416956,117
411,14.416975,125
413,14.431845,125
415,14.456759,125
420,14.476748,125
428,14.502794,125
439,14.536713,125
451,14.596726,125
452,14.596734,125
468,14.723001,125
470,14.756757,125
472,14.829893,125
474,14.831703,125
476,14.891878,125
479,14.927265,125
481,14.942938,117
482,14.949721,125
484,14.962782,125
486,14.989754,125
488,15.016781,125
490,15.056787,125
492,15.089794,125
495,15.176868,125
497,15.191774,125
498,15.196679,125
501,15.202771,68
502,15.236736,125
505,15.366792,68
507,15.409821,125
509,15.41167,125
512,15.451841,125
514,15.457229,117
516,15.466996,125
519,15.496833,125
521,15.506725,125
522,15.511798,68
524,15.546802,125
527,15.576964,125
529,15.586769,68
531,15.643071,125
534,15.676895,125
535,15.676906,68
536,15.683073,125
537,15.683081,125
541,15.706777,68
544,15.747962,68
545,15.776785,125
546,15.782782,68
548,15.807831,125
550,15.842868,125
552,15.896828,125
554,15.916776,125
556,15.937286,125
559,15.946771,125
561,15.951762,125
563,15.962778,125
565,15.976943,117
566,16.069823,125
568,16.082811,125
570,16.122918,125
571,16.12699,125
579,16.197145,125
581,16.246801,125
583,16.262829,125
585,16.322862,125
588,16.35673,125
589,16.357477,125
592,16.366721,125
595,16.403263,125
600,16.482866,125
602,16.496763,117
604,16.529794,125
606,16.547488,125
608,16.596842,125
610,16.603062,125
612,16.867038,125
613,16.867052,125
614,16.867053,125
615,16.867054,125
616,16.867056,125
617,16.867057,125
618,16.867058,125
619,16.871716,125
628,16.876987,125
630,16.889756,125
633,16.896744,125
635,16.906757,125
636,16.906764,125
637,16.90995,125
641,16.923054,125
642,16.923065,125
645,16.926945,125
647,16.943139,125
649,16.963146,125
650,16.963157,125
653,16.968104,125
655,17.091887,125
657,17.142867,125
658,17.147001,125
661,17.151887,125
664,17.237929,125
665,17.237939,117
667,17.317058,125
669,17.376848,125
671,17.402927,125
672,17.402938,125
673,17.40294,125
678,17.449851,125
683,17.486773,125
686,17.526767,125
688,17.537177,125
690,17.546998,125
692,17.562854,125
694,17.61679,125
697,17.666801,125
701,17.696931,125
703,17.722861,125
706,17.78703,125
708,17.803082,125
710,17.830148,125
712,17.842816,125
714,17.863173,125
716,17.963224,125
718,17.982829,125
720,18.016844,125
723,18.049805,125
725,18.066827,117
726,18.109927,125
728,18.166791,125
730,18.186767,125
732,18.206805,125
734,18.222854,125
736,18.262905,125
738,18.287948,125
740,18.316858,125
742,18.336864,125
744,18.387011,125
746,18.426841,125
748,18.449788,125
750,18.477294,125
752,18.516858,125
755,18.568111,125
757,18.592538,117
758,18.612029,125
760,18.622977,125
762,18.643064,125
764,18.656994,125
766,18.716824,125
769,18.777167,125
771,18.786809,125
772,18.789694,125
775,18.796703,68
776,18.822838,125
778,18.842845,125
780,18.887136,125
782,18.903099,125
784,18.962937,125
785,18.96295,125
788,18.996778,125
790,19.002795,125
792,19.04286,125
796,19.067027,125
798,19.077379,125
801,19.096867,117
803,19.102793,125
805,19.12679,125
807,19.131794,125
808,19.132357,125
811,19.146736,125
813,19.166751,125
815,19.171808,125
819,19.247007,125
821,19.262873,125
822,19.262883,125
825,19.276948,125
828,19.303155,125
830,19.327019,68
832,19.362869,125
837,19.383,125
839,19.391738,125
842,19.402807,125
846,19.4318,125
847,19.431811,125
856,19.491949,125
858,19.55687,125
862,19.589791,125
864,19.60284,125
866,19.606735,117
868,19.611715,125
870,19.642872,68
872,19.662903,125
875,19.666731,125
878,19.702901,125
879,19.702912,68
882,19.716856,125
887,19.742954,125
889,19.766843,68
891,19.803095,125
892,19.809739,125
896,19.816731,68
897,19.827156,125
901,19.851817,68
902,19.851828,125
903,19.856732,125
906,19.866721,125
907,19.87175,125
913,19.956949,68
914,19.967094,125
915,19.969732,125
918,20.016848,125
921,20.082877,125
923,20.102894,125
926,20.126838,117
927,20.126849,125
930,20.156781,68
934,20.186839,68
935,20.216862,125
938,20.283072,68
940,20.343288,125
943,20.371758,68
945,20.402883,125
948,20.416895,125
956,20.542854,125
958,20.56681,125
959,20.56737,125
964,20.610831,125
966,20.622823,117
972,20.736911,125
